Stimulus,ACC
int_noload_noinhib_NO_TEX.1.bmp,1
int_noload_noinhib_YES_TEX.1.bmp,1
int_noload_noinhib_YES_SHA.2.bmp,1
int_noload_noinhib_NO_TEX.6.bmp,1
int_load_inhib_NO_SHA.6.bmp,1
int_load_inhib_NO_TEX.2.bmp,0
int_load_inhib_YES_TEX.2.bmp,1
int_load_inhib_NO_SHA.3.bmp,1
int_load_inhib_NO_TEX.1.bmp,1
int_load_inhib_YES_TEX.5.bmp,1
int_load_inhib_YES_SHA.4.bmp,0
int_load_inhib_NO_TEX.4.bmp,1
int_load_noinhib_YES_SHA.6.bmp,1
int_load_noinhib_NO_TEX.3.bmp,0
int_noload_noinhib_NO_SHA.6.bmp,0
int_load_noinhib_YES_TEX.5.bmp,1
int_load_inhib_NO_SHA.5.bmp,1
int_noload_noinhib_NO_TEX.5.bmp,1
int_noload_inhib_YES_TEX.4.bmp,1
int_noload_inhib_NO_SHA.6.bmp,1
int_noload_noinhib_NO_SHA.5.bmp,0
int_noload_noinhib_NO_TEX.4.bmp,0
int_noload_noinhib_YES_TEX.3.bmp,1
int_load_inhib_NO_SHA.2.bmp,1
